"","text","obs_freq","exp_freq","p_value"
"1","A01 vie saint alexis",44,24.4696000763577,1e-04
"2","A02 vie saint barbre",17,13.9826286150616,0.40421
"3","A03 vie saint basille",15,10.9863510546912,0.21186
"4","A04 vie saint christofle",20,25.655626610671,0.23777
"5","A06 saint jean evangeliste",1,28.8079602939773,0
"6","A07 vie saint jean paulus",13,11.5481530972607,0.65967
"7","A08 vie glorieux confesseur",9,11.6729979956094,0.422
"8","A09 vie saint leu",5,7.86522859597213,0.29892
"9","A10 poines enfer",19,17.7591867901117,0.76234
"10","A11 vie saint sebastien",6,7.99007349432089,0.47019
"11","A12 miracle saint servais",25,15.9489357640546,0.01841
"12","A13 vie seint thibault",29,33.0214756132481,0.45303
"13","A14 miracle seint thomas",1,2.37205306862652,0.40425
"14","A15 vie saint yves",1,0.873914288441348,0.81956
"15","A16 guillaume angleterre",34,29.5882409086571,0.38669
"16","A17 robert deable",27,31.710604180586,0.37227
"17","A18 richart sans peour",34,25.5307817123222,0.07589
"18","A19 elegy troyes",NA,2.12236327192899,0.11621
"19","A20 vieillards tués",7,4.61926123890427,0.26802
"20","A21 mauvais riche homme",5,3.24596735706786,0.32618
"21","A22 jeu des dez",1,3.99503674716045,0.12283
"22","A23 roy avoit amie",5,6.2422449174382,0.61664
"23","A24 dieu damours",NA,0.62422449174382,0.39341
"24","A25 quatre sereurs",9,6.36708981578696,0.2839
